feature_set	outer_split_1	outer_split_2	n_selected_split_1	n_selected_split_2	intersection_size	union_size	jaccard_similarity
combined_all	6	8	5	5	3	7	0.42857142857142855
combined_all	6	9	5	10	3	12	0.25
combined_all	6	10	5	5	1	9	0.1111111111111111
combined_all	6	11	5	20	3	22	0.13636363636363635
combined_all	6	12	5	20	3	22	0.13636363636363635
combined_all	6	13	5	10	3	12	0.25
combined_all	6	14	5	10	1	14	0.07142857142857142
combined_all	6	15	5	10	3	12	0.25
combined_all	6	16	5	10	1	14	0.07142857142857142
combined_all	6	17	5	20	3	22	0.13636363636363635
combined_all	6	18	5	10	2	13	0.15384615384615385
combined_all	6	19	5	10	3	12	0.25
combined_all	6	20	5	5	3	7	0.42857142857142855
combined_all	6	21	5	20	3	22	0.13636363636363635
combined_all	6	22	5	5	3	7	0.42857142857142855
combined_all	6	23	5	50	4	51	0.0784313725490196
combined_all	6	24	5	20	3	22	0.13636363636363635
combined_all	6	25	5	20	3	22	0.13636363636363635
combined_all	7	8	10	5	2	13	0.15384615384615385
combined_all	7	9	10	10	3	17	0.17647058823529413
combined_all	7	10	10	5	3	12	0.25
combined_all	7	11	10	20	3	27	0.1111111111111111
combined_all	7	12	10	20	3	27	0.1111111111111111
combined_all	7	13	10	10	5	15	0.3333333333333333
combined_all	7	14	10	10	3	17	0.17647058823529413
combined_all	7	15	10	10	3	17	0.17647058823529413
combined_all	7	16	10	10	4	16	0.25
combined_all	7	17	10	20	6	24	0.25
combined_all	7	18	10	10	3	17	0.17647058823529413
combined_all	7	19	10	10	3	17	0.17647058823529413
combined_all	7	20	10	5	2	13	0.15384615384615385
combined_all	7	21	10	20	4	26	0.15384615384615385
combined_all	7	22	10	5	3	12	0.25
combined_all	7	23	10	50	8	52	0.15384615384615385
combined_all	7	24	10	20	6	24	0.25
combined_all	7	25	10	20	6	24	0.25
combined_all	8	9	5	10	3	12	0.25
combined_all	8	10	5	5	1	9	0.1111111111111111
combined_all	8	11	5	20	3	22	0.13636363636363635
combined_all	8	12	5	20	3	22	0.13636363636363635
combined_all	8	13	5	10	3	12	0.25
combined_all	8	14	5	10	1	14	0.07142857142857142
combined_all	8	15	5	10	3	12	0.25
combined_all	8	16	5	10	1	14	0.07142857142857142
combined_all	8	17	5	20	3	22	0.13636363636363635
combined_all	8	18	5	10	2	13	0.15384615384615385
combined_all	8	19	5	10	3	12	0.25
combined_all	8	20	5	5	3	7	0.42857142857142855
combined_all	8	21	5	20	3	22	0.13636363636363635
combined_all	8	22	5	5	3	7	0.42857142857142855
combined_all	8	23	5	50	3	52	0.057692307692307696
combined_all	8	24	5	20	3	22	0.13636363636363635
combined_all	8	25	5	20	4	21	0.19047619047619047
combined_all	9	10	10	5	3	12	0.25
combined_all	9	11	10	20	6	24	0.25
combined_all	9	12	10	20	4	26	0.15384615384615385
combined_all	9	13	10	10	4	16	0.25
combined_all	9	14	10	10	3	17	0.17647058823529413
combined_all	9	15	10	10	4	16	0.25
combined_all	9	16	10	10	3	17	0.17647058823529413
combined_all	9	17	10	20	5	25	0.2
combined_all	9	18	10	10	4	16	0.25
combined_all	9	19	10	10	6	14	0.42857142857142855
combined_all	9	20	10	5	3	12	0.25
combined_all	9	21	10	20	6	24	0.25
combined_all	9	22	10	5	4	11	0.36363636363636365
combined_all	9	23	10	50	9	51	0.17647058823529413
combined_all	9	24	10	20	6	24	0.25
combined_all	9	25	10	20	6	24	0.25
combined_all	10	11	5	20	3	22	0.13636363636363635
combined_all	10	12	5	20	1	24	0.041666666666666664
combined_all	10	13	5	10	2	13	0.15384615384615385
combined_all	10	14	5	10	4	11	0.36363636363636365
combined_all	10	15	5	10	1	14	0.07142857142857142
combined_all	10	16	5	10	3	12	0.25
combined_all	10	17	5	20	1	24	0.041666666666666664
combined_all	10	18	5	10	2	13	0.15384615384615385
combined_all	10	19	5	10	3	12	0.25
combined_all	10	20	5	5	1	9	0.1111111111111111
combined_all	10	21	5	20	4	21	0.19047619047619047
combined_all	10	22	5	5	2	8	0.25
combined_all	10	23	5	50	3	52	0.057692307692307696
combined_all	10	24	5	20	4	21	0.19047619047619047
combined_all	10	25	5	20	4	21	0.19047619047619047
combined_all	11	12	20	20	3	37	0.08108108108108109
combined_all	11	13	20	10	5	25	0.2
combined_all	11	14	20	10	3	27	0.1111111111111111
combined_all	11	15	20	10	3	27	0.1111111111111111
combined_all	11	16	20	10	2	28	0.07142857142857142
combined_all	11	17	20	20	4	36	0.1111111111111111
combined_all	11	18	20	10	3	27	0.1111111111111111
combined_all	11	19	20	10	5	25	0.2
combined_all	11	20	20	5	3	22	0.13636363636363635
combined_all	11	21	20	20	6	34	0.17647058823529413
combined_all	11	22	20	5	4	21	0.19047619047619047
combined_all	11	23	20	50	8	62	0.12903225806451613
combined_all	11	24	20	20	5	35	0.14285714285714285
combined_all	11	25	20	20	6	34	0.17647058823529413
combined_all	12	13	20	10	5	25	0.2
combined_all	12	14	20	10	1	29	0.034482758620689655
combined_all	12	15	20	10	4	26	0.15384615384615385
combined_all	12	16	20	10	2	28	0.07142857142857142
combined_all	12	17	20	20	10	30	0.3333333333333333
combined_all	12	18	20	10	3	27	0.1111111111111111
combined_all	12	19	20	10	4	26	0.15384615384615385
